player_id,season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,income,adj_income
1386,2019,PF,23,ORL,78,78,33.8,6.0,13.4,0.449,1.6,4.4,0.349,4.5,9.0,0.499,0.507,2.4,3.2,0.731,1.7,5.7,7.4,3.7,0.7,0.7,2.1,2.2,16.0,21590909,26142334
1386,2020,PF,24,ORL,62,62,32.5,5.4,12.4,0.437,1.2,3.8,0.308,4.2,8.5,0.494,0.484,2.4,3.6,0.674,1.7,5.9,7.7,3.7,0.8,0.6,1.6,2.0,14.4,19863636,23660900
1386,2021,PF,25,TOT,100,100,27.666666666666668,4.6,9.966666666666669,0.4666666666666666,1.2,3.533333333333333,0.3253333333333333,3.4,6.466666666666666,0.5379999999999999,0.524,1.9,3.0,0.6616666666666666,1.5333333333333332,4.133333333333333,5.666666666666667,3.2000000000000006,0.6666666666666666,0.7000000000000001,1.9333333333333331,1.8,12.4,18136364,21464826
1386,2022,PF,26,DEN,75,75,31.7,5.8,11.1,0.52,1.2,3.5,0.335,4.6,7.7,0.605,0.573,2.3,3.1,0.743,1.7,4.2,5.9,2.5,0.6,0.6,1.8,2.0,15.0,16409091,18427070
1386,2023,PF,27,DEN,68,68,30.2,6.3,11.2,0.564,0.9,2.5,0.347,5.4,8.6,0.628,0.603,2.8,4.6,0.608,2.4,4.1,6.6,3.0,0.8,0.8,1.4,1.9,16.3,20690909,21305258
1386,2024,PF,28,DEN,73,73,31.5,5.5,9.8,0.556,0.5,1.9,0.29,4.9,7.9,0.619,0.584,2.4,3.7,0.658,2.4,4.1,6.5,3.5,0.8,0.6,1.4,1.9,13.9,21266182,21266182
905,2008,C,23,CHI,61,1,10.0,1.7,3.3,0.505,0.0,0.0,0.0,1.7,3.3,0.507,0.505,0.9,1.6,0.566,1.1,1.6,2.8,0.7,0.3,0.3,0.9,1.9,4.3,427163,625534
905,2009,C,24,CHI,56,18,12.8,1.4,3.0,0.485,0.0,0.0,0.0,1.4,3.0,0.488,0.485,0.6,1.1,0.576,1.5,2.4,3.9,0.8,0.3,0.3,0.7,2.4,3.5,711517,992117
905,2010,C,25,TOT,64,0,8.966666666666667,1.2333333333333334,2.566666666666667,0.4833333333333334,0.0,0.0,0,1.2333333333333334,2.566666666666667,0.4833333333333334,0.4833333333333334,0.5666666666666667,0.9,0.619,1.2333333333333332,1.8,3.033333333333333,0.6,0.2333333333333333,0.2666666666666666,0.4666666666666666,1.6,3.0666666666666664,1000497,1415255
905,2011,C,26,NOH,41,6,13.0,1.4,2.4,0.566,0.0,0.0,0,1.4,2.4,0.566,0.566,0.4,0.8,0.5,1.4,2.7,4.2,0.4,0.3,0.3,0.8,2.3,3.1,1028840,1440177
